Careless Whisper | George Michael
Hello It's Me | Todd Rundgren
My Eyes Adored You | Frankie Valli
Tell Him | Céline Dion
You and Me | Alice Cooper
Dance with Me | Orleans
When I Need You (Remastered) | Leo Sayer
Ventura Highway | America
Tin Man | America
Amber Cascades | America
A Horse with No Name | America
Love Is | Vanessa Williams And Brian McKnight
Hello It's Me | Todd Rundgren
Here I Am (Just When I Thought I Was Over You) | Air Supply
Stay (2018 Remaster) | Jackson Browne
